Name_ID ,Name_OfficialCombined,Name_Official,,Name_FirstName,Name_ForwardName,Name_DateExpression,Name_BirthDateFilter,Name_DeathDateFilter,Name_Type,Name_KressInstitutionType,Name_InstitutionStatus,Name_Location,Name_LocationFilter,Name_InstitutionWeb,Name_Nationality ,Name_NationalityFilter,Name_ULANID,Name_ULANURI,Name_VIAFID,Name_VIAFURI,Name_LCCNID,Name_LCCNURI,Name_WikipediaURL,Name_TMSID,Name_InternalNote,Name_RelatedObjectID,Name_RelatedAcquisitionID,Name_RelatedDocumentID,Name_RelatedObjectID (previous attribution),,,
NAM0060,"Assisi, Andrea d', 1480-1521","Assisi, Andrea d'",Assisi,Andrea d',Andrea d'Assisi,1480-1521,1480,1521,Artist,,,,,,Italian,Italian,,,107044908,http://viaf.org/viaf/107044908,,,https://en.wikipedia.org/wiki/Andrea_di_Aloigi,35809,,,,,,,,
NAM0061,"Austin Arts Center, Trinity College, Hartford, Connecticut","Austin Arts Center, Trinity College","Austin Arts Center, Trinity College",,,,,,Institution,Kress Study Collection,Current Owner,"Hartford, Connecticut",Connecticut,https://www.trincoll.edu/Arts/Pages/AustinArtsCenter.aspx,,,,,142339829 ,http://viaf.org/viaf/142339829 ,nr94027166,http://id.loc.gov/authorities/names/nr94027166,,37552,,,,,,,,
NAM0062,Austrian 14th Century ,Austrian 14th Century,Austrian 14th Century,,Austrian 14th Century,,1300,1399,Artist,,,,,,Austrian,Austrian,,,,,,,,9802,,,,,,,,
NAM0063,Austrian 15th Century,Austrian 15th Century,Austrian 15th Centuury,,=TRIM(H188),,1400,1499,Artist,,,,,,Austrian,Austrian,,,,,,,,2821,,,,,,,,
NAM0064,Austrian 16th Century ,Austrian 16th Century,Austrian 16th Century,,Austrian 16th Century,,1500,1599,Artist,,,,,,Austrian,Austrian,,,,,,,,2010,,,,,,,,
NAM0065,"Averlino, Antonio, called Filarete, c. 1400-1469","Averlino, Antonio, called Filarete",Averlino,Antonio,Antonio Averlino,c. 1400-1469,1395,1474,Artist,,,,,,Italian,Italian,500031755,http://vocab.getty.edu/page/ulan/500031755,95877350; 14845307,http://viaf.org/viaf/95877350; http://viaf.org/viaf/14845307,n82019667,http://id.loc.gov/authorities/names/n82019667,https://en.wikipedia.org/wiki/Filarete,5763,,,,,,,,
NAM0066,"Bacchiacca, 1494-1557",Bacchiacca,Bacchiacca,,Bacchiacca,1494-1557,1494,1557,Artist,,,,,,Florentine,Italian,500021332,http://vocab.getty.edu/page/ulan/500021332,35507084,http://viaf.org/viaf/35507084,nr91030833,http://id.loc.gov/authorities/names/nr91030833,https://en.wikipedia.org/wiki/Francesco_Bacchiacca,131,,,,,2919,,,
NAM0067,Bachstitz Gallery ,,Bachstitz Gallery ,,,,,,Seller,,,"The Hague, Netherlands",Netherlands,,,,,,71283888 ,http://viaf.org/viaf/71283888 ,nr95037654,http://id.loc.gov/authorities/names/nr95037654,https://en.wikipedia.org/wiki/Kurt_Walter_Bachstitz,22534,,,ACQ011,DOC16379,,,,
NAM0068,Bacri Frères,,Bacri Frères,,,,,,Seller,,,"Paris, France",France,,,,,,,,4991149068538465730002,http://id.loc.gov/authorities/names/4991149068538465730002,,26908,,,ACQ320,,,,,
NAM0069,"Baldassare d'Este, 1432-after 1506",Baldassare d'Este,Baldassare d'Este,,Baldassare d'Este,1432-after 1506,1432,1507,Artist,,,,,,Ferrarese,Italian,500003014,http://vocab.getty.edu/page/ulan/500003014,95699067; 73703689,http://viaf.org/viaf/95699067; http://viaf.org/viaf/73703689,,,https://en.wikipedia.org/wiki/Baldassare_Estense,2099,,,,,,,,
